text_generator;text_length;wildcards;pattern_length;searcher;test_result_duration_nano;test_result_char_comparisons
DNA;100000;true;2400;KMP (Standard Borders);1527260;479746
DNA;100000;true;2400;KMP (Precise Borders);1479648;476583
DNA;100000;true;2500;Naive;511289;134137
DNA;100000;true;2500;KMP (Standard Borders);1479879;461775
DNA;100000;true;2500;KMP (Precise Borders);1437813;459996
DNA;100000;true;2600;Naive;513245;134181
DNA;100000;true;2600;KMP (Standard Borders);1499715;466325
DNA;100000;true;2600;KMP (Precise Borders);1452645;465322
DNA;100000;true;2700;Naive;509164;134137
DNA;100000;true;2700;KMP (Standard Borders);1558774;488845
DNA;100000;true;2700;KMP (Precise Borders);1506531;486478
DNA;100000;true;2800;Naive;511933;134343
DNA;100000;true;2800;KMP (Standard Borders);1545361;485101
DNA;100000;true;2800;KMP (Precise Borders);1497951;482797
DNA;100000;true;2900;Naive;510606;134456
DNA;100000;true;2900;KMP (Standard Borders);1625335;511723
DNA;100000;true;2900;KMP (Precise Borders);1574697;508880
DNA;100000;true;3000;Naive;512573;135277
DNA;100000;true;3000;KMP (Standard Borders);1471873;460569
DNA;100000;true;3000;KMP (Precise Borders);1422883;458862
Binary;10000;false;100;Naive;67624;20065
Binary;10000;false;100;KMP (Standard Borders);57585;18726
Binary;10000;false;100;KMP (Precise Borders);55411;17648
Binary;10000;false;200;Naive;67747;20191
Binary;10000;false;200;KMP (Standard Borders);57652;18861
Binary;10000;false;200;KMP (Precise Borders);55947;17801
Binary;10000;false;300;Naive;68117;20302
Binary;10000;false;300;KMP (Standard Borders);57785;19043
Binary;10000;false;300;KMP (Precise Borders);56557;18022
Binary;10000;false;400;Naive;67973;20403
Binary;10000;false;400;KMP (Standard Borders);58013;19234
Binary;10000;false;400;KMP (Precise Borders);57443;18220
Binary;10000;false;500;Naive;68041;20501
Binary;10000;false;500;KMP (Standard Borders);58552;19470
Binary;10000;false;500;KMP (Precise Borders);58689;18712
Binary;10000;false;600;Naive;68243;20571
Binary;10000;false;600;KMP (Standard Borders);58631;19636
Binary;10000;false;600;KMP (Precise Borders);59278;18898
Binary;10000;false;700;Naive;68340;20702
Binary;10000;false;700;KMP (Standard Borders);59167;19891
Binary;10000;false;700;KMP (Precise Borders);60608;19358
Binary;10000;false;800;Naive;68578;20814
Binary;10000;false;800;KMP (Standard Borders);59440;20057
Binary;10000;false;800;KMP (Precise Borders);61324;19508
Binary;10000;false;900;Naive;68766;20904
